,pi_key,discipline_classification,discipline.group,Id,Group,Sex,ACTIVITY,unique_activities,unique_activity_grouped,unique_activity_sep_5plus,project_count,project_sep_8plus,activity_per_project,Act_per_proj_quant,Act_per_proj_4grp,activity_grouped
1,nih_1840203,AGRI,AGRI,"Lauffenburger, Douglas A",comp,M,P50,5,5+,5+,9,8+,0.555555556,3,3,P
2,nih_1852587,CHEM,CHEM,"Lippard, Stephen J",study,M,P41,3,3 to 4,3,8,8+,0.375,2,1,P41
3,nih_1857677,PHAR,PHAR,"Samulski, Richard J",comp,M,P01,5,5+,5+,13,8+,0.384615385,2,1,P01
4,nih_1857694,IMMU,IMMU,"Green, Douglas R",study,M,R37,4,3 to 4,4,9,8+,0.444444444,2,2,R
5,nih_1857785,MULT,MULT,"Skoultchi, Arthur I",comp,M,P30,4,3 to 4,4,9,8+,0.444444444,2,2,P
6,nih_1857787,IMMU,IMMU,"Harrison, Stephen C",comp,M,U19,8,5+,5+,15,8+,0.533333333,3,3,U
7,nih_1857799,IMMU,IMMU,"Cronan, John E",comp,M,U54,3,3 to 4,3,3,3,1,5,4,U
8,nih_1857949,NEUR,NEUR,"Delpire, Eric J",comp,M,R01,3,3 to 4,3,5,5,0.6,4,3,R01
9,nih_1857999,MEDI,MEDI,"Cassis, Lisa A",comp,F,P20,4,3 to 4,4,8,8+,0.5,2,2,P
10,nih_1858000,IMMU,IMMU,"Dunny, Gary M",comp,M,R56,2,1 to 2,2,7,7,0.285714286,1,1,R
11,nih_1858016,MEDI,MEDI,"Bronner, Marianne",comp,F,P50,5,5+,5+,11,8+,0.454545455,2,2,P
12,nih_1858017,AGRI,AGRI,"Witman, George B",study,M,P30,3,3 to 4,3,3,3,1,5,4,P
13,nih_1858018,NEUR,NEUR,"Richter, Joel D",study,M,U54,4,3 to 4,4,7,7,0.571428571,4,3,U
14,nih_1858025,MULT,MULT,"Lambright, David G",study,M,P01,2,1 to 2,2,2,2,1,5,4,P01
15,nih_1858378,CENG,CENG,"Schultz, Peter G",study,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
16,nih_1858379,NULL.,OTHER,"Carter, Charles W",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
17,nih_1858393,MULT,MULT,"Puglisi, Joseph D",study,M,R37,2,1 to 2,2,8,8+,0.25,1,1,R
18,nih_1858394,IMMU,IMMU,"Shuman, Howard A",comp,M,U54,3,3 to 4,3,4,4,0.75,5,4,U
19,nih_1858403,MULT,MULT,"Kowalczykowski, Stephen C",study,M,R37,2,1 to 2,2,5,5,0.4,2,1,R
20,nih_1858404,CENG,CENG,"Liu, Hung-wen",study,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
21,nih_1858410,CHEM,CHEM,"Markley, John L",study,M,P50,5,5+,5+,9,8+,0.555555556,3,3,P
22,nih_1858415,MULT,MULT,"Stroud, Robert M",study,M,P50,6,5+,5+,15,8+,0.4,2,1,P
23,nih_1858485,NEUR,NEUR,"Spirou, George A",comp,M,P41,5,5+,5+,8,8+,0.625,4,3,P41
24,nih_1858536,MEDI,MEDI,"Cohen, Pinchas",comp,M,P50,4,3 to 4,4,10,8+,0.4,2,1,P
25,nih_1858670,MEDI,MEDI,"Musen, Mark A",comp,M,U54,3,3 to 4,3,6,6,0.5,2,2,U
26,nih_1858679,BIOC,BIOC,"King, Stephen M",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
27,nih_1858704,NEUR,NEUR,"Gelles, Jeff",study,M,R37,3,3 to 4,3,5,5,0.6,4,3,R
28,nih_1858803,MULT,MULT,"Young, Richard A",comp,M,P01,3,3 to 4,3,9,8+,0.333333333,1,1,P01
29,nih_1858811,MULT,MULT,"Golan, David E",comp,M,U54,3,3 to 4,3,4,4,0.75,5,4,U
30,nih_1858903,BIOC,BIOC,"Shuman, Stewart H",study,M,P41,4,3 to 4,4,7,7,0.571428571,4,3,P41
31,nih_1858963,AGRI,AGRI,"Macara, Ian G",study,M,P30,4,3 to 4,4,8,8+,0.5,2,2,P
32,nih_1859093,NEUR,NEUR,"Strickland, Sidney",comp,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
33,nih_1859098,CENG,CENG,"Herschlag, Daniel",study,M,P41,4,3 to 4,4,5,5,0.8,5,4,P41
34,nih_1859109,MULT,MULT,"Schimmel, Paul R",comp,M,P41,2,1 to 2,2,4,4,0.5,2,2,P41
35,nih_1859116,IMMU,IMMU,"Chen, Youhai H",comp,M,R56,2,1 to 2,2,14,8+,0.142857143,1,1,R
36,nih_1859162,BIOC,BIOC,"Dutta, Anindya",comp,M,P01,4,3 to 4,4,9,8+,0.444444444,2,2,P01
37,nih_1859164,CHEM,CHEM,"Williams, Robert M",comp,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
38,nih_1859172,MULT,MULT,"Mekalanos, John J",comp,M,U54,4,3 to 4,4,7,7,0.571428571,4,3,U
39,nih_1859360,AGRI,AGRI,"Fuller, Margaret T",study,F,U54,4,3 to 4,4,7,7,0.571428571,4,3,U
40,nih_1859365,CHEM,CHEM,"Tang, Pei",study,F,P41,3,3 to 4,3,5,5,0.6,4,3,P41
41,nih_1859377,BIOC,BIOC,"Kalderon, Daniel D",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
42,nih_1859383,IMMU,IMMU,"Kushner, Sidney R",study,M,R56,2,1 to 2,2,3,3,0.666666667,4,3,R
43,nih_1859424,CENG,CENG,"Weiss, Michael A",comp,M,R01,2,1 to 2,2,8,8+,0.25,1,1,R01
44,nih_1859694,IMMU,IMMU,"Grossman, Alan D",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
45,nih_1860024,AGRI,AGRI,"Blenis, John",study,M,R37,3,3 to 4,3,5,5,0.6,4,3,R
46,nih_1860132,NEUR,NEUR,"Adelman, John P",comp,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
47,nih_1860178,MULT,MULT,"Weissman, Irving L",comp,M,P01,7,5+,5+,17,8+,0.411764706,2,2,P01
48,nih_1860212,IMMU,IMMU,"Butcher, Eugene C",comp,M,U19,8,5+,5+,17,8+,0.470588235,2,2,U
49,nih_1860213,CENG,CENG,"Houk, Kendall N",study,M,R01,2,1 to 2,2,5,5,0.4,2,1,R01
50,nih_1860225,BIOC,BIOC,"Wek, Ronald C",study,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
51,nih_1860231,MULT,MULT,"Spudich, James A",study,M,P01,2,1 to 2,2,5,5,0.4,2,1,P01
52,nih_1860233,BIOC,BIOC,"Tainer, John A",comp,M,P01,2,1 to 2,2,12,8+,0.166666667,1,1,P01
53,nih_1860244,PHAR,PHAR,"Newton, Alexandra C",study,F,P01,3,3 to 4,3,5,5,0.6,4,3,P01
54,nih_1860472,IMMU,IMMU,"Sundquist, Wesley I",comp,M,P50,4,3 to 4,4,7,7,0.571428571,4,3,P
55,nih_1860523,BIOC,BIOC,"Hill, Christopher P",study,M,P41,5,5+,5+,8,8+,0.625,4,3,P41
56,nih_1860696,CENG,CENG,"Weeks, Kevin M",study,M,R01,1,1 to 2,1,6,6,0.166666667,1,1,R01
57,nih_1860700,BIOC,BIOC,"Berger, Shelley L",comp,F,P01,4,3 to 4,4,8,8+,0.5,2,2,P01
58,nih_1860709,AGRI,AGRI,"Meyer, Tobias",study,M,R21,4,3 to 4,4,11,8+,0.363636364,1,1,R
59,nih_1860711,MEDI,MEDI,"Ayala, Alfred",study,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
60,nih_1860712,IMMU,IMMU,"Nemazee, David",comp,M,P01,5,5+,5+,12,8+,0.416666667,2,2,P01
61,nih_1860713,MEDI,MEDI,"Condeelis, John S",comp,M,U54,6,5+,5+,13,8+,0.461538462,2,2,U
62,nih_1860716,CHEM,CHEM,"Freed, Jack H",comp,M,P41,2,1 to 2,2,4,4,0.5,2,2,P41
63,nih_1860775,IMMU,IMMU,"Brenner, Michael B",comp,M,P01,7,5+,5+,14,8+,0.5,2,2,P01
64,nih_1860807,BIOC,BIOC,"Goodman, Myron F",comp,M,P01,5,5+,5+,9,8+,0.555555556,3,3,P01
