"","Source","Target","Label","Type","PMID_x","PUB_YEAR","COUNTRY","PMID_y","ACTIVITY","avg_discpline_weight","discipline_classification","activity_weight","normalized_discipline_weight","normalized_activity_weight"
"1","Gao, Jiali","York, Darrin M",18345664,"Undirected",18345664,2008,"United States",18345664,"R01",12.2922157315582,"CHEM",1.71922762437889,0.352669474256215,0.0270457261462985
"2","Gao, Jiali","York, Darrin M",18566190,"Undirected",18566190,2008,"United States",18566190,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"3","Fitzpatrick, Paul F","Gao, Jiali",19926855,"Undirected",19926855,2009,"United States",19926855,"R01",17.769638648861,"MULT",1.71922762437889,0.509819324430479,0.0270457261462985
"4","Gao, Jiali","Thomas, David D",19450461,"Undirected",19450461,2009,"United States",19450461,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"5","Gao, Jiali","Taylor, Susan S",21471451,"Undirected",21471451,2011,"United States",21471451,"R37",17.769638648861,"MULT",8.29643868878996,0.509819324430479,0.130513961958721
"6","Taylor, Susan S","Gao, Jiali",23205665,"Undirected",23205665,2012,"United States",23205665,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"7","Gao, Jiali","Gerlt, John A",25275007,"Undirected",25275007,2014,"United States",25275007,"R01",17.769638648861,"MULT",1.71922762437889,0.509819324430479,0.0270457261462985
"8","Deng, Li","Gao, Jiali",26120374,"Undirected",26120374,2015,"",26120374,"R01",14.171182458888,"NULL.",1.71922762437889,0.406577916992952,0.0270457261462985
"9","Gao, Jiali","Taylor, Susan S",25775607,"Undirected",25775607,2015,"United States",25775607,"R01",17.769638648861,"MULT",1.71922762437889,0.509819324430479,0.0270457261462985
"10","Deng, Li","Gao, Jiali",26113884,"Undirected",26113884,2015,"",26113884,"R01",14.171182458888,"NULL.",1.71922762437889,0.406577916992952,0.0270457261462985
"11","Selker, Eric U","Cheng, Xiaodong",12372305,"Undirected",12372305,2002,"United States",12372305,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
"12","Selker, Eric U","Cheng, Xiaodong",12887903,"Undirected",12887903,2003,"United States",12887903,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
"13","Dunlap, Jay C","Selker, Eric U",15007097,"Undirected",15007097,2004,"United States",15007097,"P01",8.11650216240566,"IMMU",11.1887024150634,0.232866280004035,0.176013098649202
"14","Selker, Eric U","Cheng, Xiaodong",15590646,"Undirected",15590646,2005,"United States",15590646,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
